StartDate,EndDate,Status,IPAddress,Progress,Duration_in_seconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,idc,drawnQn,drawnQl,queryString,flips,nMasks,dMask,dComplex_Qn,dComplex_Ql,dComplex_Where,focus,bslnA1,bslnA2,bslnA3,bslnB,cntrQ,dComplex_focus,info_focus_dComplex_dMask,info_dComplex_dMask,trustB,t,answerA1,diffA1,answerA2,diffA2,answerA3,diffA3,answerB,correctB,trustA1,trustA2,trustA3,uniqueCntrQuestion
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",64,"engine temperature","gps on","wiper on gte 1","h0v0",6,"medium","E","E","H","WHAT_Qn",21.73,24.93,11.95,-1,254,"E","WHAT_Qn_E_M","E_M","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the Fuel consumption is greater than 54? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the Fuel consumption is greater than 54? - Percentage",null,"The engine temperature is on average more stable while the Fuel consumption is greater than 54 than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",10
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",68,"fuel consumption","gps on","wiper on gte 1","h0v0",6,"medium","E","M","E","WHAT_Qn",41.62,43.35,25.41,1,255,"E","WHAT_Qn_E_M","E_M","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the fuel consumption while the Engine temperature is greater than 13? - Average value",null,"What is the average value of the fuel consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the Engine temperature is greater than 13? - Percentage",null,"The fuel consumption is on average more stable while the Engine temperature is greater than 13 than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",11
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",32,"suspension force","radio on","wiper on gte 1","h0v0",6,"medium","E","M","M","WHAT_Qn",36.73,34.69,18.99,1,256,"E","WHAT_Qn_E_M","E_M","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the car is on a paved road? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the car is on a paved road? - Percentage",null,"The suspension force is on average more stable while the car is on a paved road than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",12
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",72,"fuel consumption","gps on","wiper on gte 1","h0v0",6,"medium","E","M","H","WHAT_Qn",76.5,77.48,21.05,1,257,"E","WHAT_Qn_E_M","E_M","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the fuel consumption while the car is on a paved road? - Average value",null,"What is the average value of the fuel consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the car is on a paved road? - Percentage",null,"The fuel consumption is on average more stable while the car is on a paved road than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",13
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",29,"engine temperature","radio on","wiper on gte 1","h0v0",6,"medium","E","H","E","WHAT_Qn",26.05,34.69,17.91,1,258,"E","WHAT_Qn_E_M","E_M","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the wiper is  on? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The engine temperature is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",14
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",54,"suspension force","radio on","wiper on gte 1","h0v0",6,"medium","E","H","M","WHAT_Qn",56.35,56.13,15.85,1,259,"E","WHAT_Qn_E_M","E_M","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the wiper is  on? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The suspension force is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",15
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",34,"suspension force","gps on","wiper on gte 1","h0v0",6,"medium","E","H","H","WHAT_Qn",24.71,27.34,20.74,-1,260,"E","WHAT_Qn_E_M","E_M","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the Fuel consumption is greater than 93? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the Fuel consumption is greater than 93? - Percentage",null,"The suspension force is on average more stable while the Fuel consumption is greater than 93 than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",16
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",1,"electricity consumption","gps on","wiper on gte 1","h0v0",6,"medium","E","E","E","WHAT_Qn",39.99,42.6,29.09,1,261,"E","WHAT_Qn_E_M","E_M","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the electricity consumption while the wiper is  on? - Average value",null,"What is the average value of the electricity consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The electricity consumption is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",17
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",63,"engine temperature","gps on","wiper on gte 1","h0v0",9,"hard","E","E","M","WHAT_Qn",18.04,15.52,34.73,1,262,"E","WHAT_Qn_E_H","E_H","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the Fuel consumption is greater than 33? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the Fuel consumption is greater than 33? - Percentage",null,"The engine temperature is on average more stable while the Fuel consumption is greater than 33 than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",18
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",64,"engine temperature","gps on","wiper on gte 1","h0v0",9,"hard","E","E","H","WHAT_Qn",27.81,24.93,26.53,1,263,"E","WHAT_Qn_E_H","E_H","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the wiper is  on? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The engine temperature is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",19
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",68,"fuel consumption","gps on","wiper on gte 1","h0v0",9,"hard","E","M","E","WHAT_Qn",43.46,43.35,15.84,-1,264,"E","WHAT_Qn_E_H","E_H","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the fuel consumption while the wiper is  on? - Average value",null,"What is the average value of the fuel consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The fuel consumption is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",20
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",32,"suspension force","radio on","wiper on gte 1","h0v0",9,"hard","E","M","M","WHAT_Qn",27.68,34.69,20.77,-1,265,"E","WHAT_Qn_E_H","E_H","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the Fuel consumption is greater than 47? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the Fuel consumption is greater than 47? - Percentage",null,"The suspension force is on average more stable while the Fuel consumption is greater than 47 than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",21
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",72,"fuel consumption","gps on","wiper on gte 1","h0v0",9,"hard","E","M","H","WHAT_Qn",75.14,77.48,21.31,1,266,"E","WHAT_Qn_E_H","E_H","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the fuel consumption while the wiper is  on? - Average value",null,"What is the average value of the fuel consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The fuel consumption is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",22
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",29,"engine temperature","radio on","wiper on gte 1","h0v0",9,"hard","E","H","E","WHAT_Qn",25.26,34.69,20.32,-1,267,"E","WHAT_Qn_E_H","E_H","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the Fuel consumption is greater than 8? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the Fuel consumption is greater than 8? - Percentage",null,"The engine temperature is on average more stable while the Fuel consumption is greater than 8 than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",23
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",54,"suspension force","radio on","wiper on gte 1","h0v0",8,"hard","E","H","M","WHAT_Qn",53.24,56.13,16.5,1,268,"E","WHAT_Qn_E_H","E_H","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the wiper is  on? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The suspension force is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",24
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",34,"suspension force","gps on","wiper on gte 1","h0v0",9,"hard","E","H","H","WHAT_Qn",26.86,27.34,18.88,1,269,"E","WHAT_Qn_E_H","E_H","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the car is on a paved road? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the car is on a paved road? - Percentage",null,"The suspension force is on average more stable while the car is on a paved road than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",25
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",1,"electricity consumption","gps on","wiper on gte 1","h0v0",9,"hard","E","E","E","WHAT_Qn",44.65,42.6,24.84,-1,270,"E","WHAT_Qn_E_H","E_H","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the electricity consumption while the Suspension force is greater than 38? - Average value",null,"What is the average value of the electricity consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the Suspension force is greater than 38? - Percentage",null,"The electricity consumption is on average more stable while the Suspension force is greater than 38 than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",26
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",61,"electricity consumption","gps on","wiper on gte 1","h0v0",3,"easy","M","E","M","WHAT_Qn",53.31,44.19,11.11,1,325,"M","WHAT_Qn_M_E","M_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the electricity consumption while the car is on a paved road? - Average value",null,"What is the average value of the electricity consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the car is on a paved road? - Percentage",null,"The electricity consumption is on average more stable while the car is on a paved road than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",27
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",38,"electricity consumption","wiper on","gps on gte 1","h0v0",3,"easy","M","E","H","WHAT_Qn",46.92,37.06,40.28,1,326,"M","WHAT_Qn_M_E","M_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the electricity consumption while the Suspension force is greater than 27? - Average value",null,"What is the average value of the electricity consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the Suspension force is greater than 27? - Percentage",null,"The electricity consumption is on average more stable while the Suspension force is greater than 27 than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",28
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",14,"engine temperature","gps on","wiper on gte 1","h0v0",3,"easy","M","M","E","WHAT_Qn",14.85,23.96,9.86,-1,327,"M","WHAT_Qn_M_E","M_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the engine temperature while the wiper is  on? - Average value",null,"What is the average value of the engine temperature over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The engine temperature is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",29
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",59,"electricity consumption","radio on","wiper on gte 1","h0v0",3,"easy","M","M","M","WHAT_Qn",57.34,64.01,38.66,-1,328,"M","WHAT_Qn_M_E","M_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the electricity consumption while the wiper is  on? - Average value",null,"What is the average value of the electricity consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The electricity consumption is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",30
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",47,"suspension force","wiper on","gps on gte 1","h0v0",3,"easy","M","M","H","WHAT_Qn",48.06,36.42,12.68,-1,329,"M","WHAT_Qn_M_E","M_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the suspension force while the Fuel consumption is greater than 32? - Average value",null,"What is the average value of the suspension force over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the Fuel consumption is greater than 32? - Percentage",null,"The suspension force is on average more stable while the Fuel consumption is greater than 32 than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",31
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",31,"electricity consumption","gps on","wiper on gte 1","h0v0",3,"easy","M","H","E","WHAT_Qn",48.1,44.19,34.42,-1,330,"M","WHAT_Qn_M_E","M_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the electricity consumption while the wiper is  on? - Average value",null,"What is the average value of the electricity consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The electricity consumption is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",32
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",22,"electricity consumption","radio on","wiper on gte 1","h0v0",3,"easy","M","H","M","WHAT_Qn",82.47,77.48,18.11,1,331,"M","WHAT_Qn_M_E","M_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the electricity consumption while the wiper is  on? - Average value",null,"What is the average value of the electricity consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The electricity consumption is on average more stable while the wiper is  on than at other times.",0,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",33
"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language",20,"electricity consumption","radio on","wiper on gte 1","h0v0",3,"easy","M","H","H","WHAT_Qn",63.46,56.13,35.02,-1,332,"M","WHAT_Qn_M_E","M_E","Rate your level of confidence in your answer","Timing - Page Submit","What is the average value of the electricity consumption while the wiper is  on? - Average value",null,"What is the average value of the electricity consumption over the whole time displayed? - Average value",null,"For what percentage of the time displayed is the wiper is  on? - Percentage",null,"The electricity consumption is on average more stable while the wiper is  on than at other times.",1,"Rate your level of confidence in your answer","Rate your level of confidence in your answer","Rate your level of confidence in your answer",34
