ResponseId,Question_Block,TimeSubmitSeconds,Agreement_Avg-Higher,Baseline avg,Bool_Avg-Higher,Confidence_Avg-Higher,Answer_More-Variation,Baseline var,Bool_More-Variation,Confidence_More-Variation
R_svSMrtyltUrKF7r,8,61.113,0,-1,0,2,0,-1,0,2
R_3qPwSdP90mZL2ql,6,61.748,1,1,1,5,1,1,1,5
R_3qPwSdP90mZL2ql,5,63.349,1,1,1,5,1,-1,0,5
R_Dkm0jBTLY5OkQpP,4,65.49628874,1,-1,0,3,0,1,0,5
R_25LsLMyzZZzTIq6,1,71.601,-1,-1,1,5,1,1,1,3
R_1LSfV7EaEVRuizJ,5,72.28,-1,1,0,3,1,-1,0,2
R_3EbR2Qpdnbxhohf,6,72.628,1,1,1,3,1,1,1,4
R_0oiv4S7O1SCQgRr,4,73.0271029,0,-1,0,4,1,1,1,3
R_3PzuW4dQwJWA9yg,6,73.53,1,1,1,5,-1,1,0,4
R_3fIemEpBQe7biQb,1,74.411,-1,-1,1,5,1,1,1,5
R_1KxokZAgw0RBDUl,1,74.96,-1,-1,1,4,1,1,1,3
R_86Lx4ZDiw6LjG0N,1,76.046,-1,-1,1,5,1,1,1,4
R_1ig6OyTdlwckPV7,4,76.06091713,-1,-1,1,4,-1,1,0,3
R_86Lx4ZDiw6LjG0N,4,81.77962108,0,-1,0,3,0,1,0,3
R_3qPwSdP90mZL2ql,4,82.03628272,-1,-1,1,5,-1,1,0,5
R_25LsLMyzZZzTIq6,5,83.289,0,1,0,3,0,-1,0,2
R_86Lx4ZDiw6LjG0N,6,83.456,1,1,1,4,0,1,0,3
R_3qPwSdP90mZL2ql,1,83.762,-1,-1,1,5,1,1,1,5
R_svSMrtyltUrKF7r,4,86.09207509,-1,-1,1,3,-1,1,0,3
R_svSMrtyltUrKF7r,2,86.579,-1,-1,1,4,-1,1,0,3
R_3EbR2Qpdnbxhohf,5,87.203,1,1,1,3,0,-1,0,3
R_svSMrtyltUrKF7r,3,89.453,-1,-1,1,5,1,-1,0,3
R_1LSfV7EaEVRuizJ,4,89.55916098,0,-1,0,3,0,1,0,3
R_svSMrtyltUrKF7r,1,94.988,-1,-1,1,5,0,1,0,3
R_1KxokZAgw0RBDUl,6,95.168,1,1,1,3,-1,1,0,3
R_2ZEwxvOCswvduC3,1,98.53,-1,-1,1,4,1,1,1,3
R_1KxokZAgw0RBDUl,2,100.667,-1,-1,1,5,-1,1,0,2
R_3PzuW4dQwJWA9yg,5,101.201,0,1,0,3,0,-1,0,3
R_3EbR2Qpdnbxhohf,7,103.14,0,1,0,4,1,1,1,4
R_3EbR2Qpdnbxhohf,9,104.986,1,1,1,4,0,1,0,3
R_25LsLMyzZZzTIq6,4,112.6591282,-1,-1,1,4,0,1,0,3
R_3EbR2Qpdnbxhohf,4,114.8860971,1,-1,0,3,1,1,1,4
R_3PzuW4dQwJWA9yg,4,116.8204619,-1,-1,1,2,0,1,0,3
R_3EbR2Qpdnbxhohf,1,117.173,-1,-1,1,5,1,1,1,5
R_3EbR2Qpdnbxhohf,2,126.023,1,-1,0,4,1,1,1,4
R_Dkm0jBTLY5OkQpP,1,137.322,-1,-1,1,2,-1,1,0,2
R_1KxokZAgw0RBDUl,5,137.988,-1,1,0,3,0,-1,0,0
R_3EbR2Qpdnbxhohf,3,151.912,-1,-1,1,5,0,-1,0,4
R_1KxokZAgw0RBDUl,4,155.8883772,-1,-1,1,3,0,1,0,2
R_86Lx4ZDiw6LjG0N,8,166.466,-1,-1,1,4,-1,-1,1,3
R_86Lx4ZDiw6LjG0N,7,175.268,-1,1,0,4,-1,1,0,4
R_86Lx4ZDiw6LjG0N,9,195.184,1,1,1,2,0,1,0,2
R_3PzuW4dQwJWA9yg,2,232.653,-1,-1,1,1,1,1,1,4
R_2ZEwxvOCswvduC3,5,262.036,0,1,0,3,0,-1,0,3
R_2ZEwxvOCswvduC3,4,283.0440638,-1,-1,1,3,0,1,0,3
R_Dkm0jBTLY5OkQpP,2,662.423,-1,-1,1,5,1,1,1,5
